time price
1512833567209 14608.83
1512833567210 14639.38
1512833567357 14608.78
1512833567389 14639.37
1512833567549 14595
1512833567654 14595.5
1512833567772 14792.45
1512833568068 14918.46
1512833568677 14628.99
1512833568678 14628.72
1512833568681 14628.64
1512833568877 14908.44
1512833569184 14628.61
1512833569185 15127.99
1512833569226 14600
1512833569269 14600
1512833569424 14628.63
1512833569541 15147.83
1512833570383 14609.94
1512833570384 14745.48
1512833571039 14628.7
1512833571347 14628.61
1512833571347 14908.44
1512833571425 14912.64
1512833571951 14555
1512833571952 14608.77
1512833571954 14555
1512833572078 14628.61
1512833572258 14555
1512833572259 14608.81
1512833572342 14628.61
1512833572343 14628.59
1512833572363 14639.37
1512833572427 14608.77
1512833572480 14639.36
1512833572501 14608.76
1512833572676 14609.98
1512833572749 14611.05
1512833572812 14608.78
1512833572823 14628.73
1512833572971 14608.73
1512833572972 14636.99
1512833573172 14608.77
1512833573426 14608.76
1512833573479 14912.64
1512833573542 14608.72
1512833573710 14904.44
1512833573861 14608.73
1512833574103 14608.69
1512833574207 14745.51
1512833574589 14608.72
1512833574632 14595.49
1512833574695 14608.68
1512833574716 14904.44
1512833574790 14628.63
1512833574823 14628.7
1512833574832 14628.61
1512833574854 14903.24
1512833575033 14608.69
1512833575129 14608.65
1512833575479 14555
1512833575586 14628.58
1512833575596 14608.68
1512833575779 14608.64
1512833575853 14903.24
1512833576064 14608.65
1512833576152 14900.95
1512833576183 15147.83
1512833576184 14608.61
1512833576321 15153.99
1512833576419 14548.47
1512833576462 14548.47
1512833576596 14628.62
1512833576638 14595.49
1512833576680 14608.64
1512833576826 14608.6
1512833577113 14608.61
1512833577197 14608.57
1512833577791 14608.6
1512833577792 14639.36
1512833577803 15198.99
1512833577928 14639.35
1512833577991 14608.56
1512833578223 14554.99
1512833578319 14608.57
1512833578329 14628.6
1512833578403 14548.47
1512833578435 14548.47
1512833578617 14611.06
1512833578859 14543.4
1512833578914 14543.4
1512833579734 14541.12
1512833579754 14608.53
1512833579813 14541.12
1512833579906 14541.12
1512833579938 14608.56
1512833580094 14602
1512833580142 14628.57
1512833580450 14608.53
1512833580510 14601.97
1512833580636 14541.12
1512833580816 14608.77
1512833581035 14628.58
1512833581046 14628.62
1512833581085 14554.99
1512833581088 14628.6
1512833582197 14628.57
1512833582406 14628.59
1512833582749 14554.99
1512833582875 14600.2
1512833583033 14986.94
1512833583051 15153.99
1512833583184 14601.97
1512833583185 15105.99
1512833583348 14554.99
1512833583458 14555
1512833583564 14600.17
1512833583683 14562.57
1512833584027 14628.57
1512833584176 14900.95
1512833584218 14555
1512833584440 14887.55
1512833584651 14611.04
1512833584715 14541.11
1512833584746 14639.35
1512833584873 14639.34
1512833585066 14602
1512833585067 14600.17
1512833585182 14601.97
1512833585224 14601.97
1512833585393 14887.55
1512833585425 14600.14
1512833585594 14877.36
1512833585637 14745.51
1512833585701 14555
1512833585796 14611.05
1512833585806 14541.11
1512833585817 14562.57
1512833585838 14745.5
1512833585891 14541.11
1512833585933 14600.14
1512833585966 14636.99
1512833586188 14541.11
1512833586189 14601.99
1512833586221 14541.11
1512833586242 14600.11
1512833586263 14598.5
1512833586264 14600.11
1512833586295 14628.99
1512833586338 14541.11
1512833586464 14995
1512833586485 14877.36
1512833586495 14554.99
1512833586517 14609.97
1512833586636 14875.76
1512833586699 14541.11
1512833587101 14609.97
1512833587197 14598.47
1512833587198 16003.36
1512833587355 14628.59
1512833587366 14554.99
1512833587376 14628.57
1512833587387 14611.04
1512833587472 14628.59
1512833587621 14629.98
1512833587624 14875.76
1512833587624 15841.03
1512833587760 14875.46
1512833588025 14628.98
1512833589204 14628.58
1512833589928 15105.99
1512833590054 15140.99
1512833590437 14554.99
1512833590594 14784.65
1512833590722 14785.76
1512833590796 14639.34
1512833590912 14639.33
1512833590944 14628.56
1512833591282 14785.39
1512833591345 14784.28
1512833591818 14554.99
1512833593199 14554.99
1512833593292 14555
